Date,Open,High,Low,Close,Volume
3/27/2014 16:00:00,28.32,28.32,27.57,27.85,13052
3/28/2014 16:00:00,27.99,28.24,27.86,27.92,41003
3/31/2014 16:00:00,28.27,28.27,27.77,27.77,10772
4/1/2014 16:00:00,27.86,28.34,27.86,28.28,7932
4/2/2014 16:00:00,28.96,30.16,28.03,28.27,146697
4/3/2014 16:00:00,28.41,29.28,28.13,28.41,5087530
4/4/2014 16:00:00,28.65,28.81,27.08,27.08,6377658
4/7/2014 16:00:00,26.96,27.35,26.29,26.83,4389569
4/8/2014 16:00:00,27.06,27.67,27.01,27.67,3152406
4/9/2014 16:00:00,27.9,28.19,27.57,28.13,3324742
4/10/2014 16:00:00,28.17,28.17,26.92,26.97,4027743
4/11/2014 16:00:00,26.55,26.93,26.25,26.46,3916171
4/14/2014 16:00:00,26.84,27.13,26.41,26.55,2568020
4/15/2014 16:00:00,26.77,26.85,25.85,26.75,3847453
4/16/2014 16:00:00,27.08,27.77,26.93,27.75,4879889
4/17/2014 16:00:00,27.37,27.4,26.48,26.73,6795393
4/21/2014 16:00:00,26.73,26.76,26.21,26.36,2561214
4/22/2014 16:00:00,26.36,26.79,26.3,26.67,2359421
4/23/2014 16:00:00,26.62,26.62,26.24,26.27,2051066
4/24/2014 16:00:00,26.43,26.51,26.03,26.19,1881965
4/25/2014 16:00:00,26.05,26.16,25.7,25.74,2097264
4/28/2014 16:00:00,25.79,25.86,25.07,25.79,3326429
4/29/2014 16:00:00,25.77,26.4,25.75,26.31,2692489
4/30/2014 16:00:00,26.31,26.33,26.05,26.26,1746904
5/1/2014 16:00:00,26.28,26.57,26.12,26.49,1900432
5/2/2014 16:00:00,26.61,26.63,26.21,26.32,1685042
5/5/2014 16:00:00,26.17,26.37,25.99,26.32,1021408
5/6/2014 16:00:00,26.19,26.27,25.68,25.69,1684381
5/7/2014 16:00:00,25.72,25.76,25.1,25.43,3216077
5/8/2014 16:00:00,25.35,25.79,25.25,25.48,2016131
5/9/2014 16:00:00,25.47,25.92,25.14,25.87,2432783
5/12/2014 16:00:00,26.1,26.44,25.88,26.42,1908392
5/13/2014 16:00:00,26.47,26.73,26.4,26.58,1648907
5/14/2014 16:00:00,26.58,26.58,26.19,26.26,1191863
5/15/2014 16:00:00,26.21,26.22,25.8,25.93,1703758
5/16/2014 16:00:00,26,26.02,25.7,25.96,1481688
5/19/2014 16:00:00,25.91,26.42,25.81,26.37,1276362
5/20/2014 16:00:00,26.41,26.74,26.24,26.42,1780113
5/21/2014 16:00:00,26.57,26.89,26.52,26.87,1193389
5/22/2014 16:00:00,26.98,27.31,26.96,27.18,1611837
5/23/2014 16:00:00,27.29,27.61,27.11,27.56,1929632
5/27/2014 16:00:00,27.72,28.22,27.64,28.22,2100298
5/28/2014 16:00:00,28.15,28.31,27.97,28.01,1647717
5/29/2014 16:00:00,28.09,28.12,27.86,27.93,1350657
5/30/2014 16:00:00,27.96,27.99,27.72,27.92,1766794
6/2/2014 16:00:00,27.96,27.97,27.21,27.62,1434989
6/3/2014 16:00:00,27.47,27.54,27.05,27.17,1861921
6/4/2014 16:00:00,27,27.36,26.86,27.16,1812084
6/5/2014 16:00:00,27.25,27.67,27.15,27.62,1684886
6/6/2014 16:00:00,27.83,27.83,27.37,27.74,1732592
6/9/2014 16:00:00,27.78,28.07,27.73,28.03,1463676
6/10/2014 16:00:00,27.95,28.1,27.82,27.95,1349444
6/11/2014 16:00:00,27.82,27.92,27.68,27.87,1097380
6/12/2014 16:00:00,27.79,27.82,27.35,27.49,1457104
6/13/2014 16:00:00,27.54,27.54,27.2,27.51,1217176
